year,jurisdiction,democratic_nominee,republican_nominee,in_api_files
2014,DE,chris_coons,carl_robert_smink,0
2014,GA,mary_michelle_nunn,david_perdue,0
2014,HI,brian_schatz,campbell_cavasso,0
2014,ID,nels_mitchell,jim_risch,0
2014,IL,dick_durbin,james_d_oberweis,0
2014,IN,,jeremy_t_anderson,0
2014,IA,bruce_l_braley,joni_k_ernst,0
2014,KS,,pat_roberts,0
2014,KY,alison_lundergan_grimes,mitch_mcconnell,0
2014,LA,mary_l_landrieu,bill_cassidy,0
2014,ME,shenna_bellows,susan_m_collins,0
2014,MA,edward_j_markey,gabriel_gomez,0
2014,MI,gary_peters,terri_lynn_land,0
2014,MN,al_franken,michael_mcfadden,0
2014,MS,travis_w_childers,thad_cochran,0
2014,MT,amanda_curtis,steve_daines,0
2014,NE,david_a_domina,ben_sasse,0
2014,NH,jeanne_shaheen,scott_p_brown,0
2014,NJ,cory_booker,jeffrey_bell,0
2014,NM,tom_udall,allen_weh,0
2014,NC,kay_r_hagan,thom_r_tillis,0
2014,OK,matthew_benjamin_silverstein,james_lankford,0
2014,OR,jeff_merkley,monica_wehby,0
2014,RI,jack_reed,mark_s_zaccaria,0
2014,SC,charles_bradley_hutto,lindsey_graham,0
2014,SD,richard_paul_weiland,mike_rounds,0
2014,TN,gordon_ball,lamar_alexander,0
2014,TX,david_alameel,john_cornyn,0
2014,VA,mark_warner,edward_w_gillespie,0
2014,WV,natalie_tennant,shelley_moore_capito,0
2014,WY,charles_e_hardy,mike_enzi,0
2014,AL01,burton_r_leflore,bradley_roberts_byrne,0
2014,AL02,,martha_roby,0
